"TS","WAIT_CLASS","EVENT","READ_OR_WRITE","BLOCKING_SESSION","MACHINE","MODULE","IN_STAGE","SQL_ID","N"
"2013-09-01 08:25:00","ON CPU","ON CPU","READ","","app1-host","Module1","SQL EXEC","xnu709y6swrnj",1
"2013-09-01 08:20:00","ON CPU","ON CPU","READ","","app1-host","Module1","SQL EXEC","p8sf52cpx44u0",1
"2013-09-01 08:23:00","ON CPU","ON CPU","READ","","app1-host","Module2","NONE","8pqp47gasy99h",1
"2013-09-01 08:10:00","ON CPU","ON CPU","READ","","app1-host","Module1","SQL EXEC","9kmqaddu89b00",1
"2013-09-01 08:06:00","ON CPU","ON CPU","WRITE","","app4-host","Module6","NONE","gruk4d0rv4575",1
"2013-09-01 08:06:00","ON CPU","ON CPU","READ","","app4-host","Module1","NONE","",1
"2013-09-01 08:06:00","ON CPU","ON CPU","READ","","app1-host","Module1","SQL EXEC","tkkjbtvswgjc3",1
"2013-09-01 08:08:00","ON CPU","ON CPU","READ","","app1-host","Module1","SQL EXEC","y8dt08nxq3xfd",1
"2013-09-01 07:59:00","ON CPU","ON CPU","READ","","app1-host","Module2","SQL EXEC","8pqp47gasy99h",1
"2013-09-01 07:55:00","ON CPU","ON CPU","READ","","app1-host","Module1","SQL EXEC","",1
